[61,65,70,11,7,15,49,26,5,17,57,25,79,39,20]
[47,54,23,3,69,19,87,71,51,80,12,56,27,22,64]
[7,33,60,69,21,27,44,83,73,25,47,54,87,52,58]
[6,40,15,79,18,1,45,53,72,31,22,82,69,75,29]
[13,9,60,20,68,70,6,84,48,63,50,30,90,11,26]
[71,62,53,65,15,34,74,23,81,30,43,4,9,1,83]
[24,10,78,36,65,2,31,26,18,33,4,22,56,45,40]
[38,32,72,73,8,69,21,84,79,45,53,50,40,49,23]
[28,76,42,12,58,30,65,24,85,16,47,81,53,45,8]
[2,28,77,33,13,39,55,17,75,59,51,24,62,45,82]
[34,5,63,23,13,48,57,62,79,40,55,68,29,10,17]
[32,21,70,77,4,35,54,49,1,69,42,18,85,59,37]
[3,40,73,72,59,85,68,11,77,37,23,45,35,14,20]
[64,77,52,25,7,21,71,33,32,62,13,26,81,17,38]
[67,34,64,37,2,31,17,78,23,74,22,26,13,87,60]
[25,22,90,12,35,77,26,48,82,14,8,2,74,71,50]
[59,54,11,75,90,65,34,16,45,62,28,78,70,31,68]
[67,27,31,33,57,22,16,75,9,76,4,40,1,81,52]
[58,20,23,13,17,54,36,47,88,10,6,76,1,70,62]
[55,81,50,65,60,88,48,74,29,10,22,9,35,16,57]
[23,75,7,13,67,48,56,71,83,29,10,17,62,90,39]
[51,33,69,41,81,7,24,20,12,61,2,77,14,4,83]
[45,3,24,10,85,8,15,20,30,27,33,18,72,56,41]
[84,37,6,18,1,49,80,28,8,45,24,54,51,71,62]
[63,56,1,44,24,48,42,14,7,39,51,10,84,54,82]
[15,17,43,81,36,6,60,55,73,67,79,72,83,25,34]
[18,62,41,13,87,26,5,71,30,12,45,64,8,76,59]
[12,16,37,2,34,89,85,15,81,65,4,46,75,21,67]
[32,53,13,9,62,4,20,48,10,85,51,2,67,43,63]
[72,81,13,83,54,65,31,41,1,74,11,28,18,6,56]
[44,2,31,7,62,81,74,53,13,65,35,19,76,71,37]
[13,8,55,82,73,46,1,69,76,43,52,5,22,41,60]
[45,23,32,51,70,29,77,82,75,11,16,35,69,9,64]
[71,24,90,75,45,40,35,18,64,54,10,84,80,29,21]
[13,11,35,59,27,6,16,36,83,74,32,3,22,81,88]
[14,30,55,4,22,51,79,87,9,41,38,17,1,12,84]
[78,14,83,11,28,73,48,58,50,4,8,35,55,63,44]
[42,51,16,45,60,39,79,88,46,6,14,12,69,53,81]
[31,58,70,65,79,36,67,61,53,19,11,35,23,74,6]
[17,7,31,68,35,21,43,74,6,11,70,63,39,60,50]
[60,29,21,75,36,24,6,9,49,85,44,68,64,72,1]
[37,47,71,82,28,53,7,85,33,5,11,73,31,17,90]
[15,8,72,77,46,36,44,34,26,82,54,73,2,12,64]
[68,73,10,30,33,89,65,22,24,61,57,2,76,26,19]
[35,20,55,43,41,12,78,8,64,60,70,1,26,66,75]
[64,24,52,33,1,56,20,4,28,45,60,10,32,78,39]
[32,38,82,41,18,33,4,1,77,47,86,13,44,26,83]
[73,3,80,62,16,63,11,38,23,69,42,33,72,51,83]
[41,65,67,48,85,16,34,60,43,82,32,23,9,4,1]
[50,46,36,6,21,71,56,84,54,9,16,61,15,26,80]
[10,73,82,13,23,19,46,83,53,9,57,26,69,43,42]
[15,10,68,58,71,4,84,19,40,74,2,62,64,20,28]
[6,52,19,48,87,62,14,12,32,53,42,1,73,23,81]
[65,29,20,49,51,13,5,16,32,23,45,70,41,33,61]
[81,77,17,62,33,63,12,51,68,53,26,74,70,9,6]
[86,48,67,11,3,79,61,9,44,80,14,25,17,33,50]
[57,45,86,19,7,76,64,80,5,73,53,85,34,15,20]
[72,10,84,82,75,51,88,7,1,21,61,28,79,59,45]
[28,65,30,10,44,33,23,71,15,6,36,58,74,61,77]
[37,67,23,34,14,9,19,70,30,82,76,57,64,6,10]
[45,40,25,68,1,32,36,34,79,86,48,80,83,21,5]
[6,68,24,29,85,42,72,15,58,54,35,80,17,30,37]
[30,86,34,64,59,39,12,23,13,60,4,18,85,42,2]
[10,37,84,73,41,31,57,15,71,63,25,50,54,9,86]
[59,62,42,12,21,90,4,55,81,65,68,9,74,1,15]
[59,84,62,81,22,10,41,6,38,77,88,35,26,51,16]
[77,12,65,45,19,50,15,26,66,74,53,23,39,9,80]
[30,36,16,12,69,8,20,5,77,73,80,35,71,85,13]
[44,41,10,82,71,24,53,15,61,2,73,17,50,8,58]
[57,79,61,71,21,23,80,33,1,17,4,11,73,83,13]
[12,19,38,64,67,47,72,85,80,13,43,58,3,53,28]
[71,3,24,65,82,52,15,39,12,20,84,26,61,59,19]
[2,11,82,41,63,24,54,30,58,20,88,85,35,78,16]
[33,14,75,22,23,78,2,53,16,85,32,41,80,61,26]
[4,19,37,63,51,15,53,7,84,25,12,43,72,21,74]
[42,51,49,8,1,31,89,20,10,75,83,38,60,80,53]
[55,2,13,64,21,84,75,45,25,9,60,67,32,33,17]
[62,35,82,65,55,42,13,3,6,71,10,17,25,45,21]
[26,53,69,36,40,83,61,5,63,22,35,88,45,30,49]
[40,47,39,5,21,70,43,84,86,35,15,62,28,19,24]
[20,51,15,10,74,80,57,67,31,16,46,63,1,38,5]
[77,42,47,19,13,60,4,52,75,89,24,34,70,68,55]
[33,20,3,55,90,5,38,85,8,78,69,29,59,80,30]
[46,90,74,53,64,43,5,67,61,21,80,84,25,18,1]
[12,43,71,1,80,63,30,55,9,49,25,62,6,27,14]
